Date,Species,Run,DNA_Sample_Code
4/4/2022,Chinook salmon,Spring,22GR0001
5/31/2022,Chinook salmon,Spring,22GR0054
5/31/2022,Chinook salmon,Spring,22GR0056
5/31/2022,Chinook salmon,Spring,22GR0053
5/31/2022,Chinook salmon,Spring,22GR0055
5/31/2022,Chinook salmon,Spring,22GR0057
7/8/2022,Chinook salmon,Spring,22GR0135
5/25/2022,Chinook salmon,Spring,22GR0038
5/25/2022,Chinook salmon,Spring,22GR0039
5/25/2022,Chinook salmon,Spring,22GR0040
5/25/2022,Chinook salmon,Spring,22GR0041
5/25/2022,Chinook salmon,Spring,22GR0042
5/25/2022,Chinook salmon,Spring,22GR0043
7/27/2022,Chinook salmon,Fall,22GR0178
6/27/2022,Chinook salmon,Spring,22GR0111
6/27/2022,Chinook salmon,Spring,22GR0113
6/27/2022,Chinook salmon,Spring,22GR0117
4/20/2022,Chinook salmon,Spring,22GR0002
5/2/2022,Chinook salmon,Spring,22GR0003
5/2/2022,Chinook salmon,Spring,22GR0004
5/4/2022,Chinook salmon,Spring,22GR0005
5/4/2022,Chinook salmon,Spring,22GR0006
5/4/2022,Chinook salmon,Spring,22GR0007
5/6/2022,Chinook salmon,Spring,22GR0009
5/6/2022,Chinook salmon,Spring,22GR0008
5/9/2022,Chinook salmon,Spring,22GR0010
5/13/2022,Chinook salmon,Spring,22GR0011
5/18/2022,Chinook salmon,Spring,22GR0019
5/16/2022,Chinook salmon,Spring,22GR0013
5/18/2022,Chinook salmon,Spring,22GR0020
5/16/2022,Chinook salmon,Spring,22GR0016
5/18/2022,Chinook salmon,Spring,22GR0021
5/16/2022,Chinook salmon,Spring,22GR0012
5/18/2022,Chinook salmon,Spring,22GR0022
5/16/2022,Chinook salmon,Spring,22GR0015
5/16/2022,Chinook salmon,Spring,22GR0014
5/18/2022,Chinook salmon,Spring,22GR0017
5/18/2022,Chinook salmon,Spring,22GR0018
5/23/2022,Chinook salmon,Spring,22GR0025
5/23/2022,Chinook salmon,Spring,22GR0026
