sample_number,in_sample,date,Species,Run,week
22GR0001,1,2022-04-04,Chinook salmon,Spring,1
22GR0002,1,2022-04-20,Chinook salmon,Spring,3
22GR0008,1,2022-05-06,Chinook salmon,Spring,5
22GR0005,1,2022-05-04,Chinook salmon,Spring,5
22GR0006,1,2022-05-04,Chinook salmon,Spring,5
22GR0009,1,2022-05-06,Chinook salmon,Spring,5
22GR0007,1,2022-05-04,Chinook salmon,Spring,5
22GR0010,1,2022-05-09,Chinook salmon,Spring,6
22GR0011,1,2022-05-13,Chinook salmon,Spring,6
22GR0012,1,2022-05-16,Chinook salmon,Spring,7
22GR0014,1,2022-05-16,Chinook salmon,Spring,7
22GR0013,1,2022-05-16,Chinook salmon,Spring,7
22GR0022,1,2022-05-18,Chinook salmon,Spring,7
22GR0017,1,2022-05-18,Chinook salmon,Spring,7
22GR0042,1,2022-05-25,Chinook salmon,Spring,8
22GR0040,1,2022-05-25,Chinook salmon,Spring,8
22GR0033,1,2022-05-25,Chinook salmon,Spring,8
22GR0032,1,2022-05-25,Chinook salmon,Spring,8
22GR0037,1,2022-05-25,Chinook salmon,Spring,8
22GR0065,1,2022-06-03,Chinook salmon,Spring,9
22GR0054,1,2022-05-31,Chinook salmon,Spring,9
22GR0061,1,2022-06-03,Chinook salmon,Spring,9
22GR0064,1,2022-06-03,Chinook salmon,Spring,9
22GR0052,1,2022-05-31,Chinook salmon,Spring,9
22GR0088,1,2022-06-06,Chinook salmon,Spring,10
22GR0073,1,2022-06-06,Chinook salmon,Spring,10
22GR0080,1,2022-06-06,Chinook salmon,Spring,10
22GR0075,1,2022-06-06,Chinook salmon,Spring,10
22GR0085,1,2022-06-06,Chinook salmon,Spring,10
22GR0095,1,2022-06-13,Chinook salmon,Spring,11
22GR0097,1,2022-06-17,Chinook salmon,Spring,11
22GR0094,1,2022-06-13,Chinook salmon,Spring,11
22GR0093,1,2022-06-13,Chinook salmon,Spring,11
22GR0096,1,2022-06-13,Chinook salmon,Spring,11
22GR0105,1,2022-06-24,Chinook salmon,Spring,12
22GR0099,1,2022-06-24,Chinook salmon,Spring,12
22GR0104,1,2022-06-24,Chinook salmon,Spring,12
22GR0102,1,2022-06-24,Chinook salmon,Spring,12
22GR0106,1,2022-06-24,Chinook salmon,Spring,12
22GR0130,1,2022-07-01,Chinook salmon,Spring,13
22GR0131,1,2022-07-01,Chinook salmon,Spring,13
22GR0122,1,2022-06-29,Chinook salmon,Spring,13
22GR0115,1,2022-06-27,Chinook salmon,Spring,13
22GR0129,1,2022-07-01,Chinook salmon,Spring,13
22GR0138,1,2022-07-08,Chinook salmon,Spring,14
22GR0139,1,2022-07-08,Chinook salmon,Spring,14
22GR0133,1,2022-07-05,Chinook salmon,Spring,14
22GR0142,1,2022-07-08,Chinook salmon,Spring,14
22GR0135,1,2022-07-08,Chinook salmon,Spring,14
22GR0158,1,2022-07-15,Chinook salmon,Spring,15
22GR0156,1,2022-07-13,Chinook salmon,Spring,15
22GR0152,1,2022-07-13,Chinook salmon,Spring,15
22GR0146,1,2022-07-11,Chinook salmon,Spring,15
22GR0157,1,2022-07-15,Chinook salmon,Fall,15
22GR0166,1,2022-07-20,Chinook salmon,Fall,16
22GR0161,1,2022-07-18,Chinook salmon,Fall,16
22GR0165,1,2022-07-20,Chinook salmon,Fall,16
22GR0169,1,2022-07-22,Chinook salmon,Fall,16
22GR0162,1,2022-07-18,Chinook salmon,Fall,16
22GR0176,1,2022-07-27,Chinook salmon,Fall,17
22GR0180,1,2022-07-29,Chinook salmon,Fall,17
22GR0175,1,2022-07-27,Chinook salmon,Fall,17
22GR0179,1,2022-07-29,Chinook salmon,Fall,17
22GR0178,1,2022-07-27,Chinook salmon,Fall,17
22GR0183,1,2022-08-01,Chinook salmon,Fall,18
22GR0185,1,2022-08-01,Chinook salmon,Fall,18
22GR0187,1,2022-08-03,Chinook salmon,Spring,18
22GR0190,1,2022-08-03,Chinook salmon,Spring,18
22GR0182,1,2022-08-01,Chinook salmon,Spring,18
22GR0202,1,2022-08-12,Chinook salmon,Spring,19
22GR0199,1,2022-08-12,Chinook salmon,Fall,19
22GR0192,1,2022-08-08,Chinook salmon,Fall,19
22GR0191,1,2022-08-08,Chinook salmon,Fall,19
22GR0195,1,2022-08-10,Chinook salmon,Fall,19
22GR0215,1,2022-08-19,Chinook salmon,Fall,20
22GR0210,1,2022-08-17,Chinook salmon,Fall,20
22GR0207,1,2022-08-15,Chinook salmon,Fall,20
22GR0206,1,2022-08-15,Chinook salmon,Fall,20
22GR0204,1,2022-08-15,Chinook salmon,Fall,20
22GR0223,1,2022-08-26,Chinook salmon,Fall,21
22GR0225,1,2022-08-26,Chinook salmon,Fall,21
22GR0228,1,2022-08-26,Chinook salmon,Spring,21
22GR0222,1,2022-08-24,Chinook salmon,Fall,21
22GR0224,1,2022-08-26,Chinook salmon,Fall,21
22GR0231,1,2022-08-29,Chinook salmon,Fall,22
22GR0232,1,2022-08-29,Chinook salmon,Fall,22
22GR0246,1,2022-09-01,Chinook salmon,Fall,22
22GR0238,1,2022-08-29,Chinook salmon,Fall,22
22GR0229,1,2022-08-29,Chinook salmon,Fall,22
22GR0264,1,2022-09-06,Chinook salmon,Fall,23
22GR0272,1,2022-09-09,Chinook salmon,Fall,23
22GR0258,1,2022-09-06,Chinook salmon,Fall,23
22GR0259,1,2022-09-06,Chinook salmon,Fall,23
22GR0268,1,2022-09-09,Chinook salmon,Fall,23
22GR0285,1,2022-09-14,Chinook salmon,Fall,24
22GR0294,1,2022-09-16,Chinook salmon,Fall,24
22GR0274,1,2022-09-12,Chinook salmon,Fall,24
22GR0293,1,2022-09-16,Chinook salmon,Fall,24
22GR0291,1,2022-09-16,Chinook salmon,Fall,24
22GR0309,1,2022-09-21,Chinook salmon,Fall,25
22GR0314,1,2022-09-21,Chinook salmon,Fall,25
22GR0301,1,2022-09-19,Chinook salmon,Fall,25
22GR0315,1,2022-09-23,Chinook salmon,Fall,25
22GR0310,1,2022-09-21,Chinook salmon,Fall,25
22GR0321,1,2022-09-26,Chinook salmon,Fall,26
22GR0323,1,2022-09-26,Chinook salmon,Fall,26
22GR0331,1,2022-09-28,Chinook salmon,Fall,26
22GR0333,1,2022-09-28,Chinook salmon,Fall,26
22GR0322,1,2022-09-26,Chinook salmon,Fall,26
22GR0338,1,2022-10-07,Chinook salmon,Fall,27
22GR0337,1,2022-10-07,Chinook salmon,Fall,27
22GR0334,1,2022-10-07,Chinook salmon,Fall,27
22GR0335,1,2022-10-07,Chinook salmon,Fall,27
22GR0339,1,2022-10-07,Chinook salmon,Fall,27
22GR0343,1,2022-10-10,Chinook salmon,Fall,28
22GR0344,1,2022-10-10,Chinook salmon,Fall,28
22GR0356,1,2022-10-14,Chinook salmon,Fall,28
22GR0340,1,2022-10-10,Chinook salmon,Fall,28
22GR0349,1,2022-10-12,Chinook salmon,Fall,28
22GR0365,1,2022-10-17,Chinook salmon,Fall,29
22GR0364,1,2022-10-17,Chinook salmon,Fall,29
22GR0362,1,2022-10-17,Chinook salmon,Fall,29
22GR0361,1,2022-10-17,Chinook salmon,Fall,29
22GR0368,1,2022-10-19,Chinook salmon,Fall,29
22GR0056,NA,2022-05-31,Chinook salmon,Spring,9
22GR0053,NA,2022-05-31,Chinook salmon,Spring,9
22GR0055,NA,2022-05-31,Chinook salmon,Spring,9
22GR0057,NA,2022-05-31,Chinook salmon,Spring,9
22GR0038,NA,2022-05-25,Chinook salmon,Spring,8
22GR0039,NA,2022-05-25,Chinook salmon,Spring,8
22GR0041,NA,2022-05-25,Chinook salmon,Spring,8
22GR0043,NA,2022-05-25,Chinook salmon,Spring,8
22GR0111,NA,2022-06-27,Chinook salmon,Spring,13
22GR0113,NA,2022-06-27,Chinook salmon,Spring,13
22GR0117,NA,2022-06-27,Chinook salmon,Spring,13
22GR0003,NA,2022-05-02,Chinook salmon,Spring,5
22GR0004,NA,2022-05-02,Chinook salmon,Spring,5
22GR0019,NA,2022-05-18,Chinook salmon,Spring,7
22GR0020,NA,2022-05-18,Chinook salmon,Spring,7
22GR0016,NA,2022-05-16,Chinook salmon,Spring,7
22GR0021,NA,2022-05-18,Chinook salmon,Spring,7
22GR0015,NA,2022-05-16,Chinook salmon,Spring,7
22GR0018,NA,2022-05-18,Chinook salmon,Spring,7
22GR0025,NA,2022-05-23,Chinook salmon,Spring,8
22GR0026,NA,2022-05-23,Chinook salmon,Spring,8
22GR0024,NA,2022-05-23,Chinook salmon,Spring,8
22GR0028,NA,2022-05-23,Chinook salmon,Spring,8
22GR0027,NA,2022-05-23,Chinook salmon,Spring,8
22GR0029,NA,2022-05-23,Chinook salmon,Spring,8
22GR0023,NA,2022-05-23,Chinook salmon,Spring,8
22GR0030,NA,2022-05-25,Chinook salmon,Spring,8
22GR0031,NA,2022-05-25,Chinook salmon,Spring,8
22GR0034,NA,2022-05-25,Chinook salmon,Spring,8
22GR0035,NA,2022-05-25,Chinook salmon,Spring,8
22GR0036,NA,2022-05-25,Chinook salmon,Spring,8
22GR0044,NA,2022-05-27,Chinook salmon,Spring,8
22GR0045,NA,2022-05-27,Chinook salmon,Spring,8
22GR0046,NA,2022-05-27,Chinook salmon,Spring,8
22GR0047,NA,2022-05-27,Chinook salmon,Spring,8
22GR0050,NA,2022-05-31,Chinook salmon,Spring,9
22GR0049,NA,2022-05-31,Chinook salmon,Spring,9
